company_age,doc_completion,avg_rating,rating_variance,cancellation_rate,price_deviation,trustworthy
296,0.33,2.9,0.53,0.13,0.29,0
1397,1.0,2.4,1.46,0.58,0.92,0
1055,1.0,3.2,1.46,0.24,0.68,0
397,0.0,2.9,1.86,0.53,1.12,0
916,0.67,1.5,0.77,0.33,0.48,0
1003,0.67,2.7,0.19,0.04,0.71,0
594,0.67,3.8,0.42,0.03,0.03,1
1290,1.0,3.4,1.08,0.06,1.36,0
1804,0.0,2.7,1.39,0.11,0.12,0
301,0.67,3.4,1.91,0.15,0.14,0
1548,1.0,1.5,1.78,0.53,0.7,0
747,0.33,2.1,1.31,0.35,1.05,0
349,0.33,1.2,0.73,0.36,1.11,0
1619,0.67,4.5,0.68,0.53,0.38,0
1522,0.0,3.6,1.01,0.18,1.2,0
263,0.33,1.6,0.07,0.17,0.71,0
767,0.67,4.3,1.84,0.51,0.22,0
152,0.67,2.1,0.38,0.35,0.09,0
293,0.0,4.0,0.76,0.09,0.23,0
252,0.67,4.9,1.05,0.33,1.12,0
1956,0.33,2.3,1.03,0.13,0.87,0
1,0.0,3.8,1.93,0.28,0.28,0
84,0.67,3.5,1.55,0.41,0.84,0
1869,1.0,1.6,1.09,0.19,1.17,0
327,0.67,4.6,0.62,0.12,1.26,0
1880,0.0,2.3,1.13,0.2,0.66,0
1257,0.33,1.5,1.46,0.44,0.45,0
527,0.67,3.9,0.28,0.36,0.6,0
790,0.33,3.3,0.98,0.24,1.22,0
1437,1.0,4.7,0.85,0.09,0.59,1
1556,0.67,4.1,0.27,0.14,0.03,1
1739,0.33,3.5,0.59,0.39,1.02,0
376,0.33,3.2,1.5,0.36,0.95,0
778,0.67,2.5,0.36,0.59,0.41,0
1952,0.33,2.7,0.35,0.51,0.86,0
1762,1.0,4.5,0.22,0.13,1.05,0
1191,0.0,1.5,0.23,0.11,0.35,0
1658,1.0,1.7,0.9,0.22,0.77,0
1102,0.0,1.5,0.12,0.5,1.23,0
386,0.67,3.3,1.33,0.34,0.32,0
30,0.0,3.5,0.52,0.56,0.0,0
928,0.0,2.9,1.65,0.2,1.12,0
19,0.67,4.5,1.51,0.5,1.07,0
1428,1.0,1.5,0.88,0.3,1.06,0
31,0.33,1.2,1.86,0.37,0.89,0
1505,0.0,2.0,0.3,0.08,0.01,0
1243,0.33,1.1,1.01,0.08,0.71,0
510,0.67,1.3,0.2,0.1,1.39,0
1997,0.67,3.4,1.59,0.24,0.26,0
502,1.0,2.9,0.05,0.5,0.2,0
925,0.67,4.0,0.88,0.21,1.12,0
543,0.33,3.4,1.1,0.59,1.14,0
752,0.33,2.6,0.16,0.16,0.16,0
803,0.33,3.6,1.82,0.52,0.62,0
1687,0.0,1.4,1.67,0.52,1.06,0
270,0.0,3.3,0.62,0.51,0.18,0
308,1.0,1.2,0.23,0.5,0.97,0
1096,0.0,2.8,1.21,0.38,0.2,0
1497,0.33,1.2,1.71,0.53,1.47,0
118,0.67,2.1,1.79,0.55,1.2,0
1588,0.67,2.6,1.92,0.53,0.09,0
490,1.0,1.4,0.18,0.19,0.85,0
1494,1.0,4.2,1.61,0.39,1.12,0
1636,0.0,4.3,0.4,0.35,1.12,0
1704,1.0,4.5,0.3,0.58,1.33,0
1192,1.0,3.9,0.45,0.25,0.39,1
1095,0.0,3.3,1.82,0.1,0.25,0
1915,1.0,2.1,0.14,0.17,1.37,0
83,0.67,2.0,0.9,0.57,1.14,0
812,0.33,3.6,0.81,0.32,0.24,0
623,0.0,3.5,1.87,0.17,0.36,0
519,0.33,2.1,0.11,0.21,0.55,0
1316,0.33,1.2,0.69,0.16,0.43,0
905,0.67,4.5,1.83,0.18,0.29,1
1686,0.67,3.4,0.45,0.47,0.67,0
1,1.0,2.5,0.74,0.22,0.89,0
781,0.0,3.9,1.13,0.33,0.07,0
1219,1.0,1.5,0.22,0.31,1.43,0
1484,0.0,3.6,1.08,0.08,0.27,0
1119,0.33,1.7,1.9,0.18,1.33,0
812,1.0,3.5,0.06,0.23,0.94,0
1373,0.67,1.2,0.1,0.37,0.76,0
141,1.0,3.6,1.66,0.09,0.24,1
1295,0.67,1.3,0.26,0.39,0.18,0
209,0.67,3.5,0.82,0.19,1.06,0
158,0.0,3.5,1.5,0.51,0.08,0
1312,0.0,3.8,1.92,0.32,0.31,0
800,0.67,3.4,0.67,0.18,0.01,0
1949,1.0,3.7,0.25,0.21,1.43,0
1250,0.33,3.3,0.43,0.07,1.1,0
1867,1.0,4.7,0.69,0.18,0.23,1
1251,0.67,2.3,0.39,0.36,0.44,0
37,1.0,4.5,0.33,0.53,0.64,0
930,0.0,1.7,0.94,0.11,1.2,0
1772,0.33,1.4,1.27,0.03,0.94,0
263,0.33,2.1,0.74,0.6,0.55,0
1687,0.67,4.7,0.01,0.04,0.98,0
78,1.0,4.7,1.28,0.07,1.2,0
1212,1.0,5.0,0.09,0.29,0.45,1
1364,0.33,3.8,1.92,0.38,1.01,0
371,1.0,4.2,1.7,0.27,0.96,0
633,1.0,4.4,0.59,0.51,0.72,0
520,0.0,1.4,1.92,0.02,1.09,0
113,1.0,4.9,1.8,0.46,1.24,0
1364,0.67,4.2,1.45,0.14,1.34,0
1997,0.67,3.4,0.46,0.56,0.33,0
1937,0.33,3.2,1.06,0.4,1.49,0
1136,1.0,4.6,1.05,0.04,0.67,1
1675,0.67,1.9,0.85,0.1,0.13,0
1640,0.33,1.1,0.9,0.28,0.41,0
183,0.67,5.0,1.49,0.31,1.22,0
1434,0.33,3.7,0.57,0.11,1.2,0
1913,0.33,2.7,0.58,0.53,0.71,0
804,0.33,3.0,1.9,0.08,0.51,0
1113,0.0,2.8,0.87,0.07,0.87,0
1943,0.0,1.6,0.51,0.12,0.11,0
1272,0.0,3.3,1.82,0.21,0.91,0
181,0.0,2.1,0.99,0.06,0.15,0
1350,0.67,2.7,0.65,0.15,1.12,0
1683,0.33,4.8,1.98,0.22,0.89,0
438,1.0,1.0,0.53,0.15,1.26,0
1175,0.33,2.4,1.12,0.19,1.15,0
106,0.0,2.1,1.37,0.07,1.35,0
1249,0.0,2.9,0.68,0.51,0.37,0
36,0.67,4.3,0.46,0.3,1.33,0
198,0.33,4.7,0.46,0.29,0.96,0
71,0.33,4.9,1.26,0.47,0.06,0
1822,0.0,2.0,1.27,0.36,0.78,0
222,0.33,3.5,0.95,0.49,0.01,0
1748,0.67,4.5,0.74,0.52,1.2,0
40,0.33,2.2,0.87,0.02,0.25,0
939,0.33,2.4,0.52,0.2,0.05,0
81,0.0,4.6,0.13,0.15,0.21,0
1100,0.67,4.1,1.19,0.58,1.31,0
62,0.0,4.6,0.42,0.03,0.91,0
914,0.67,3.4,0.74,0.55,0.14,0
1243,0.67,1.4,0.06,0.13,0.88,0
347,1.0,3.2,0.21,0.24,0.51,0
1681,0.0,3.6,0.09,0.32,0.53,0
427,0.33,2.4,1.6,0.51,0.66,0
1910,0.33,2.4,0.87,0.39,0.54,0
463,0.33,3.0,0.7,0.31,1.28,0
1395,0.67,4.9,0.1,0.46,0.37,0
590,0.33,2.2,1.39,0.04,1.23,0
356,0.0,1.8,1.09,0.04,0.94,0
1158,0.0,4.8,1.33,0.37,0.95,0
1300,0.0,1.3,0.82,0.09,1.14,0
206,0.33,3.8,0.56,0.53,0.21,0
1938,1.0,1.1,1.17,0.2,0.8,0
1041,0.67,2.9,0.94,0.13,0.39,0
1339,0.67,2.1,0.87,0.28,1.27,0
1300,0.67,1.5,1.88,0.31,0.61,0
1656,0.33,4.0,1.65,0.25,0.86,0
1987,1.0,2.5,0.39,0.06,0.38,0
911,0.67,2.2,1.87,0.07,1.07,0
1673,1.0,2.3,1.4,0.36,0.83,0
440,0.67,4.9,1.94,0.59,0.49,0
644,0.67,4.1,0.11,0.44,0.83,0
156,0.67,1.0,0.51,0.06,0.82,0
912,0.67,2.2,0.43,0.11,0.61,0
1085,0.0,3.4,0.39,0.46,0.95,0
142,0.33,1.4,0.81,0.6,0.24,0
912,0.0,4.0,0.73,0.43,0.59,0
9,0.67,2.4,1.47,0.1,0.91,0
1738,0.33,3.5,0.15,0.38,0.48,0
1091,0.0,2.9,1.71,0.22,0.74,0
345,1.0,2.9,0.25,0.36,0.29,0
1881,1.0,1.4,0.1,0.11,0.03,0
1248,0.33,4.7,0.29,0.14,0.59,0
1403,0.33,1.4,1.25,0.11,1.39,0
245,1.0,2.6,0.28,0.32,1.25,0
1258,0.0,4.9,1.18,0.34,0.04,0
1640,0.67,3.1,0.49,0.07,0.3,0
847,0.33,4.0,1.37,0.33,0.44,0
1654,0.33,1.7,1.64,0.25,1.31,0
198,0.0,3.2,1.51,0.17,0.32,0
1887,0.33,3.2,0.18,0.31,0.56,0
1909,0.33,4.9,0.71,0.25,0.66,0
1079,1.0,4.9,0.46,0.03,1.47,0
177,0.67,4.2,1.43,0.51,1.16,0
260,0.0,2.4,0.68,0.58,0.8,0
521,0.0,1.0,0.56,0.16,0.63,0
307,0.0,3.0,1.2,0.12,0.97,0
1926,0.33,1.7,1.04,0.45,0.96,0
1621,1.0,3.5,0.63,0.45,1.46,0
1615,1.0,4.2,1.8,0.28,0.06,1
914,0.33,2.3,0.47,0.54,0.61,0
1652,1.0,3.7,1.72,0.09,0.16,1
1662,1.0,1.8,0.89,0.23,0.59,0
1275,0.33,2.3,0.94,0.09,1.16,0
689,0.67,2.5,1.68,0.24,0.14,0
1173,0.33,2.7,0.19,0.24,0.97,0
451,0.67,2.4,0.45,0.33,1.22,0
1088,0.67,1.0,0.26,0.2,0.03,0
1114,1.0,3.0,0.09,0.59,1.3,0
586,1.0,2.0,1.56,0.16,0.14,0
1684,0.33,1.7,0.1,0.45,0.25,0
733,0.67,2.8,0.85,0.13,1.31,0
977,1.0,1.3,0.14,0.0,1.41,0
1136,0.67,2.5,0.88,0.02,1.11,0
691,0.33,2.5,0.1,0.58,1.02,0
414,1.0,1.3,0.44,0.22,1.42,0
445,0.33,2.6,1.96,0.48,0.93,0
713,1.0,3.9,0.53,0.51,0.34,0
657,1.0,1.9,0.6,0.6,0.6,0
1642,1.0,2.7,0.01,0.04,0.99,0
1677,0.67,4.7,1.77,0.01,1.25,0
598,0.0,1.9,0.96,0.59,1.35,0
103,0.0,3.3,0.84,0.29,0.53,0
1599,0.0,2.3,0.07,0.33,0.88,0
1034,1.0,2.0,1.43,0.26,0.27,0
610,0.67,3.0,0.1,0.48,0.94,0
913,0.67,1.8,0.23,0.26,0.79,0
88,0.67,3.2,1.65,0.52,0.89,0
1936,0.0,4.3,0.15,0.34,0.84,0
1699,0.0,1.5,0.26,0.58,1.36,0
1805,0.33,2.5,0.96,0.42,1.34,0
618,1.0,2.0,0.39,0.28,1.35,0
915,0.33,3.6,1.99,0.49,0.88,0
268,0.67,1.6,1.08,0.45,0.83,0
346,0.33,4.4,1.59,0.33,0.28,0
398,0.0,3.5,0.96,0.44,0.47,0
60,1.0,4.4,1.59,0.06,0.47,1
908,0.33,2.8,1.26,0.39,1.18,0
189,0.33,2.5,0.2,0.24,1.18,0
1871,0.67,4.3,0.96,0.43,0.34,0
1309,0.67,4.9,0.1,0.41,1.3,0
532,0.33,2.7,1.59,0.49,1.15,0
1292,0.33,2.6,1.08,0.36,1.31,0
1956,0.67,2.8,1.16,0.26,0.91,0
460,0.33,1.2,1.57,0.06,1.44,0
939,0.0,2.3,0.63,0.1,1.42,0
1147,0.67,1.6,1.65,0.42,1.31,0
1699,0.0,3.5,0.86,0.34,0.56,0
1034,0.0,2.9,1.94,0.51,1.5,0
1436,0.33,2.1,1.29,0.52,0.14,0
1717,0.33,4.5,1.11,0.22,0.49,0
1067,0.0,4.0,1.07,0.02,0.49,0
462,1.0,4.0,0.33,0.52,0.8,0
855,0.67,1.9,0.2,0.56,0.61,0
1409,0.33,3.5,0.91,0.36,0.54,0
1941,0.33,3.7,1.76,0.56,0.55,0
1534,1.0,4.7,1.81,0.39,0.16,0
511,0.33,3.6,1.36,0.16,1.33,0
1510,0.67,1.8,1.27,0.49,1.18,0
1043,1.0,4.9,1.54,0.12,1.12,0
1164,0.0,3.2,1.01,0.42,0.31,0
789,0.33,4.6,1.62,0.31,1.25,0
198,0.0,2.0,0.64,0.17,0.72,0
1506,0.67,4.0,0.57,0.28,0.08,1
1652,0.33,4.1,1.43,0.35,0.15,0
1999,0.33,4.2,1.87,0.52,0.88,0
1689,0.67,1.5,0.64,0.6,0.36,0
1871,0.67,1.8,0.9,0.4,0.71,0
1947,0.33,4.4,0.02,0.02,0.32,0
1166,1.0,1.3,1.8,0.24,1.25,0
176,1.0,3.6,1.48,0.33,0.57,0
869,0.33,3.2,1.88,0.14,1.21,0
179,0.67,2.2,0.85,0.39,1.4,0
1093,1.0,3.8,1.69,0.21,1.27,0
402,0.0,3.4,1.54,0.45,0.18,0
1241,0.0,3.7,0.33,0.56,1.01,0
648,0.33,2.4,1.78,0.58,1.47,0
611,1.0,3.3,1.86,0.34,0.51,0
1787,0.33,2.0,1.62,0.5,1.33,0
1443,0.67,2.3,1.32,0.57,0.83,0
866,0.33,4.7,1.11,0.1,0.86,0
620,0.33,3.8,1.39,0.42,0.71,0
141,0.33,4.0,0.2,0.44,0.99,0
532,0.67,3.8,1.77,0.08,0.65,1
1263,0.67,4.6,0.2,0.57,0.31,0
1057,1.0,2.9,0.79,0.01,0.45,0
1432,0.33,4.3,1.9,0.27,0.84,0
872,0.33,4.0,1.05,0.1,0.35,0
306,0.0,1.4,1.49,0.4,1.08,0
625,1.0,2.6,1.11,0.18,0.48,0
1701,1.0,4.6,0.62,0.41,0.96,0
1,0.0,3.4,0.5,0.36,0.56,0
718,1.0,4.0,1.07,0.05,0.89,0
679,0.0,3.4,0.23,0.1,1.15,0
1174,0.67,1.0,0.79,0.3,0.69,0
745,1.0,1.6,0.34,0.35,0.87,0
1612,0.67,1.6,1.72,0.34,0.52,0
1954,1.0,4.3,1.29,0.37,1.14,0
1678,0.33,4.4,1.17,0.06,0.68,0
536,1.0,3.2,0.64,0.04,1.01,0
580,0.67,1.8,1.95,0.19,1.17,0
916,0.33,3.4,1.28,0.18,0.71,0
176,0.67,2.0,0.51,0.49,1.16,0
1064,0.0,4.6,0.95,0.04,1.43,0
290,0.0,2.8,0.72,0.57,1.03,0
579,1.0,4.6,0.09,0.04,0.23,1
832,1.0,2.4,1.87,0.15,0.61,0
626,0.67,2.5,0.07,0.3,0.11,0
777,1.0,4.6,1.03,0.02,0.01,1
432,1.0,1.2,1.63,0.57,0.61,0
789,0.67,3.1,0.5,0.16,0.77,0
438,1.0,2.0,1.42,0.25,0.11,0
1317,1.0,2.6,1.68,0.59,0.99,0
491,1.0,3.8,1.83,0.03,0.86,0
431,1.0,1.1,0.53,0.16,0.01,0
1146,0.0,3.2,1.12,0.29,0.1,0
514,1.0,2.2,1.6,0.19,1.49,0
538,0.33,3.0,1.33,0.24,0.87,0
1597,0.67,3.6,0.28,0.26,0.18,1
762,0.0,1.7,1.38,0.41,1.35,0
986,0.33,3.6,1.93,0.49,1.47,0
1948,1.0,4.8,0.12,0.46,1.3,0
363,0.33,1.1,0.51,0.35,0.28,0
694,1.0,1.5,1.78,0.26,0.57,0
1275,0.0,2.0,0.63,0.15,1.44,0
915,0.67,3.4,0.45,0.19,0.24,0
361,1.0,4.4,1.84,0.01,0.24,1
161,1.0,3.5,0.49,0.3,0.43,0
